,Component,Waiting,Interpolation,Sending
299700,0.265,0.000,0.001,0.000
302400,0.594,0.000,0.001,0.000
305100,0.267,0.000,0.005,0.000
307800,0.272,0.000,0.002,0.000
310500,0.268,0.000,0.002,0.000
313200,0.464,0.000,0.001,0.000
315900,0.263,0.000,0.001,0.000
318600,0.266,0.000,0.002,0.000
321300,0.264,0.000,0.002,0.000
324000,0.522,0.000,0.001,0.000
326700,0.259,0.000,0.002,0.000
329400,0.264,0.000,0.002,0.000
332100,0.265,0.000,0.003,0.000
334800,0.457,0.000,0.002,0.000
337500,0.260,0.000,0.003,0.000
340200,0.264,0.000,0.002,0.000
342900,0.266,0.000,0.002,0.000
345600,0.519,0.000,0.001,0.000
348300,0.260,0.000,0.001,0.000
351000,0.265,0.000,0.005,0.000
353700,0.260,0.000,0.002,0.000
356400,0.456,0.000,0.004,0.000
359100,0.258,0.000,0.002,0.000
361800,0.264,0.000,0.002,0.000
364500,0.260,0.000,0.002,0.000
367200,0.591,0.000,0.004,0.000
369900,0.262,0.000,0.001,0.000
372600,0.269,0.000,0.002,0.000
375300,0.261,0.000,0.001,0.000
378000,0.459,0.000,0.004,0.000
380700,0.261,0.000,0.004,0.000
383400,0.266,0.000,0.001,0.000
386100,0.263,0.000,0.003,0.000
388800,0.534,0.000,0.002,0.000
391500,0.266,0.000,0.002,0.000
394200,0.268,0.000,0.001,0.000
396900,0.269,0.000,0.001,0.000
399600,0.465,0.000,0.001,0.000
402300,0.275,0.000,0.002,0.000
405000,0.269,0.000,0.001,0.000
407700,0.265,0.000,0.002,0.000
410400,0.527,0.000,0.002,0.000
413100,0.260,0.000,0.002,0.000
415800,0.266,0.000,0.006,0.000
418500,0.260,0.000,0.002,0.000
421200,0.462,0.000,0.004,0.000
423900,0.262,0.000,0.004,0.000
426600,0.267,0.000,0.003,0.000
429300,0.268,0.000,0.002,0.000
432000,0.652,0.000,0.002,0.000
434700,0.263,0.000,0.002,0.000
437400,0.266,0.000,0.002,0.000
440100,0.263,0.000,0.002,0.000
442800,0.459,0.000,0.002,0.000
445500,0.261,0.000,0.005,0.000
448200,0.263,0.000,0.002,0.000
450900,0.260,0.000,0.004,0.000
453600,0.533,0.000,0.001,0.000
456300,0.259,0.000,0.002,0.000
459000,0.262,0.000,0.002,0.000
461700,0.261,0.000,0.001,0.000
464400,0.467,0.000,0.002,0.000
467100,0.257,0.000,0.005,0.000
469800,0.267,0.000,0.002,0.000
472500,0.259,0.000,0.002,0.000
475200,0.535,0.000,0.003,0.000
477900,0.267,0.000,0.001,0.000
480600,0.273,0.000,0.002,0.000
483300,0.272,0.000,0.001,0.000
486000,0.470,0.000,0.002,0.000
488700,0.268,0.000,0.001,0.000
491400,0.269,0.000,0.001,0.000
494100,0.264,0.000,0.001,0.000
496800,0.623,0.000,0.081,0.000
499500,0.264,0.000,0.002,0.000
502200,0.265,0.000,0.010,0.000
504900,0.261,0.000,0.001,0.000
507600,0.458,0.000,0.002,0.000
510300,0.262,0.000,0.001,0.000
513000,0.265,0.000,0.002,0.000
515700,0.259,0.000,0.002,0.000
518400,0.628,0.000,0.002,0.000
521100,0.260,0.000,0.001,0.000
523800,0.264,0.000,0.001,0.000
526500,0.261,0.000,0.002,0.000
529200,0.457,0.000,0.001,0.000
531900,0.260,0.000,0.002,0.000
534600,0.263,0.000,0.002,0.000
537300,0.259,0.000,0.003,0.000
540000,0.517,0.000,0.002,0.000
542700,0.256,0.000,0.002,0.000
545400,0.272,0.000,0.002,0.000
548100,0.255,0.000,0.002,0.000
550800,0.456,0.000,0.003,0.000
553500,0.255,0.000,0.005,0.000
556200,0.270,0.000,0.002,0.000
558900,0.257,0.000,0.001,0.000
561600,0.526,0.000,0.001,0.000
564300,0.267,0.000,0.002,0.000
567000,0.289,0.000,0.001,0.000
569700,0.278,0.000,0.001,0.000
572400,0.472,0.000,0.004,0.000
575100,0.273,0.000,0.002,0.000
577800,0.268,0.000,0.006,0.000
580500,0.263,0.000,0.001,0.000
583200,0.574,0.000,0.004,0.000
585900,0.259,0.000,0.001,0.000
588600,0.267,0.000,0.001,0.000
591300,0.260,0.000,0.001,0.000
594000,0.460,0.000,0.002,0.000
596700,0.258,0.000,0.002,0.000
599400,0.263,0.000,0.002,0.000
602100,0.263,0.000,0.001,0.000
604800,0.526,0.000,0.001,0.000
607500,0.262,0.000,0.005,0.000
610200,0.267,0.000,0.002,0.000
612900,0.261,0.000,0.002,0.000
615600,0.458,0.000,0.002,0.000
618300,0.265,0.000,0.001,0.000
621000,0.266,0.000,0.002,0.000
623700,0.261,0.000,0.001,0.000
626400,0.518,0.000,0.001,0.000
629100,0.259,0.000,0.001,0.000
631800,0.262,0.000,0.004,0.000
634500,0.262,0.000,0.001,0.000
637200,0.467,0.000,0.002,0.000
639900,0.267,0.000,0.009,0.000
642600,0.270,0.000,0.002,0.000
645300,0.265,0.000,0.002,0.000
648000,0.638,0.000,0.002,0.000
650700,0.277,0.000,0.002,0.000
653400,0.280,0.000,0.002,0.000
656100,0.269,0.000,0.003,0.000
658800,0.469,0.000,0.001,0.000
661500,0.270,0.000,0.004,0.000
664200,0.266,0.000,0.002,0.000
666900,0.272,0.000,0.001,0.000
669600,0.535,0.000,0.001,0.000
672300,0.268,0.000,0.001,0.000
675000,0.269,0.000,0.001,0.000
677700,0.265,0.000,0.002,0.000
680400,0.459,0.000,0.001,0.000
683100,0.260,0.000,0.001,0.000
685800,0.264,0.000,0.002,0.000
688500,0.260,0.000,0.002,0.000
691200,0.536,0.000,0.006,0.000
693900,0.260,0.000,0.002,0.000
696600,0.270,0.000,0.001,0.000
699300,0.262,0.000,0.002,0.000
702000,0.460,0.000,0.002,0.000
704700,0.265,0.000,0.006,0.000
707400,0.266,0.000,0.001,0.000
710100,0.271,0.000,0.007,0.000
712800,0.526,0.000,0.001,0.000
715500,0.262,0.000,0.002,0.000
718200,0.267,0.000,0.001,0.000
720900,0.266,0.000,0.002,0.000
723600,0.467,0.000,0.002,0.000
726300,0.264,0.000,0.002,0.000
729000,0.267,0.000,0.002,0.000
731700,0.265,0.000,0.001,0.000
734400,0.594,0.000,0.006,0.000
737100,0.262,0.000,0.002,0.000
739800,0.272,0.000,0.006,0.000
742500,0.267,0.000,0.118,0.000
745200,0.536,0.000,0.002,0.000
747900,0.262,0.000,0.002,0.000
750600,0.266,0.000,0.006,0.000
753300,0.263,0.000,0.001,0.000
756000,0.524,0.000,0.001,0.000
758700,0.262,0.000,0.001,0.000
761400,0.265,0.000,0.001,0.000
764100,0.263,0.000,0.001,0.000
766800,0.460,0.000,0.002,0.000
769500,0.259,0.000,0.001,0.000
772200,0.262,0.000,0.001,0.000
774900,0.259,0.000,0.001,0.000
777600,0.530,0.000,0.001,0.000
780300,0.262,0.000,0.001,0.000
783000,0.268,0.000,0.001,0.000
785700,0.260,0.000,0.001,0.000
788400,0.459,0.000,0.001,0.000
791100,0.261,0.000,0.002,0.000
793800,0.266,0.000,0.002,0.000
796500,0.259,0.000,0.002,0.000
799200,0.600,0.000,0.005,0.000
801900,0.260,0.000,0.005,0.000
804600,0.269,0.000,0.002,0.000
807300,0.266,0.000,0.002,0.000
810000,0.465,0.000,0.002,0.000
812700,0.264,0.000,0.001,0.000
815400,0.270,0.000,0.003,0.000
818100,0.265,0.000,0.002,0.000
